,titulo,preco,quartos,suites,banheiros,vagas,privativos,link,lat,long,numero_rua,bairro,cidade,piscina,gas_central,elevador,salao,academia
362,Apartamento 3 Quartos Praia Brava 88m²,1350000.0,3,1,3,2,88,https://maximoveis.com.br/imovel/11835/apartamento-3-quartos-torres-da-brava-praia-brava-itajai/,-26.9441106,-48.6387048,"Avenida Rua Luci Canziani, 200",Praia Brava,Itajaí/SC,1,1,1,1,1
363,Apartamento 2 Quartos Praia Brava 82m²,1250000.0,2,2,3,1,82,https://maximoveis.com.br/imovel/11836/apartamento-2-quartos-torres-da-brava-praia-brava-itajai/,-26.9441106,-48.6387048,"Avenida Rua Luci Canziani, 200",Praia Brava,Itajaí/SC,1,1,1,1,1
368,Apartamento 2 Quartos Fazenda 75m²,796584.09,2,2,3,1,75,https://maximoveis.com.br/imovel/12728/apartamento-2-quartos-luminares-residence-fazenda-itajai/,-26.9273027,-48.6546086,"Rua Manoel Bernardo Da Silva, 345",Fazenda,Itajaí/SC,1,0,1,1,1
372,Apartamento 2 Quartos Balneário Santa Clara 93m²,1580000.0,2,2,3,2,93,https://maximoveis.com.br/imovel/12894/apartamento-2-quartos-brava-ocean-balneario-santa-clara-itajai/,-26.9458586,-48.6426472,"Rua Cabo-Polícia Militar Antônio Rudolf, 155",Balneário Santa Clara,Itajaí/SC,1,0,1,1,1
373,Apartamento 3 Quartos Praia Brava 126m²,2950000.0,3,3,4,2,126,https://maximoveis.com.br/imovel/9374/apartamento-3-quartos-riva-praia-brava-itajai/,-26.9540923,-48.63145220000001,"Rua Delfim Mário Pádua Peixoto, 1540",Praia Brava,Itajaí/SC,1,1,1,1,1
375,Apartamento 3 Quartos Praia Brava 98m²,2375016.41,3,1,3,3,98,https://maximoveis.com.br/imovel/8467/apartamento-3-quartos-privilege-brava-praia-brava-itajai/,-26.9590242,-48.6290432,"Rua Vergínia Ângelo Severino, 12",Praia Brava,Itajaí/SC,1,0,1,1,1
376,Apartamento 3 Quartos Balneário Santa Clara 115m²,1850000.0,3,1,3,2,115,https://maximoveis.com.br/imovel/12535/apartamento-3-quartos-leonardo-da-vinci.-balneario-santa-clara-itajai/,-26.9528734,-48.6346244,"Rua Conselheiro Júlio Kumm, 583",Balneário Santa Clara,Itajaí/SC,0,0,1,0,0
377,Apartamento 3 Quartos Fazenda 102m²,876098.4,3,1,3,2,102,https://maximoveis.com.br/imovel/12483/apartamento-3-quartos-provincia-di-salerno-fazenda-itajai/,-26.9320161,-48.6457998,"Rua José Correia, 199",Fazenda,Itajaí/SC,1,0,1,0,1
380,Apartamento 3 Quartos Centro 104m²,1033000.0,3,1,3,2,104,https://maximoveis.com.br/imovel/10069/apartamento-3-quartos-monte-solaro-centro-itajai/,-26.9159496,-48.6592326,"Rua Uruguai, 716",Centro,Itajaí/SC,1,0,1,1,1
381,Apartamento 3 Quartos Fazenda 93m²,928986.9,3,1,3,2,93,https://maximoveis.com.br/imovel/12727/apartamento-3-quartos-luminares-residence-fazenda-itajai/,-26.9273027,-48.6546086,"Rua Manoel Bernardo Da Silva, 345",Fazenda,Itajaí/SC,1,0,1,1,1
383,Apartamento 2 Quartos Praia Brava 71m²,913000.0,2,1,2,2,71,https://maximoveis.com.br/imovel/10718/apartamento-2-quartos-soul-brava-praia-brava-itajai/,-26.95522,-48.644251,"Rua Suécia, 371",Praia Brava,Itajaí/SC,1,1,1,1,1
384,Apartamento 3 Quartos Fazenda 118m²,1634182.0,3,3,4,2,118,https://maximoveis.com.br/imovel/12768/apartamento-3-quartos-fazenda-garden-fazenda-itajai/,-26.9200291,-48.6532217,"Avenida Sete De Setembro, 1657",Fazenda,Itajaí/SC,1,0,1,1,1
386,Apartamento 2 Quartos Fazenda 65m²,716739.11,2,1,2,1,65,https://maximoveis.com.br/imovel/12732/apartamento-2-quartos-luminares-residence-fazenda-itajai/,-26.9273027,-48.6546086,"Rua Manoel Bernardo Da Silva, 345",Fazenda,Itajaí/SC,1,0,1,1,1
387,Apartamento 3 Quartos Centro 155m²,2400000.0,3,3,5,3,155,https://maximoveis.com.br/imovel/7535/apartamento-3-quartos-marechiaro-residencial-centro-itajai/,-26.9098664,-48.6548531,"Rua Lauro Muller, 538",Centro,Itajaí/SC,1,0,1,1,1
388,Apartamento 2 Quartos Praia Brava 55m²,755000.0,2,1,1,1,55,https://maximoveis.com.br/imovel/9193/apartamento-2-quartos-soul-brava-praia-brava-itajai/,-26.95522,-48.644251,"Rua Suécia, 371",Praia Brava,Itajaí/SC,1,1,1,1,1
391,Apartamento 3 Quartos Fazendinha 193m²,3056529.06,3,3,4,2,193,https://maximoveis.com.br/imovel/10758/apartamento-3-quartos-artefacto-towers-fazendinha-itajai/,-26.9530755,-48.6405651,"Avenida Osvaldo Reis, 3334",Fazendinha,Itajaí/SC,1,0,1,1,1
394,Apartamento 3 Quartos Praia Brava 126m²,2713440.0,3,3,4,2,126,https://maximoveis.com.br/imovel/10692/apartamento-3-quartos-residencial-dusseldorf-praia-brava-itajai/,-26.9529509,-48.634561,"Rua Conselheiro Júlio Kumm, 563",Praia Brava,Itajaí/SC,1,0,1,1,0
398,Apartamento 2 Quartos Praia Brava 82m²,1342024.13,2,2,3,2,82,https://maximoveis.com.br/imovel/12475/apartamento-2-quartos-brava-park-residence-praia-brava-itajai/,-26.9441396,-48.64138639999999,"Rua Laura Dos Santos Laurindo, 101",Praia Brava,Itajaí/SC,1,0,1,1,1
