,titulo,preco,quartos,suites,banheiros,vagas,privativos,link,lat,long,numero_rua,bairro,cidade,piscina,gas_central,elevador,salao,academia
257,Apartamento 2 Quartos Itaipava 44m²,210000.0,2,0,1,1,44,https://maximoveis.com.br/imovel/12703/apartamento-2-quartos-luna-bella-itaipava-itajai/,-26.9434091,-48.7474332,"Rua Maria De Souza Gonçalves, 38",Itaipava,Itajaí/SC,1,0,0,1,0
258,Apartamento 2 Quartos Centro 77m²,800000.0,2,1,2,2,77,https://maximoveis.com.br/imovel/10056/apartamento-2-quartos-monte-solaro-centro-itajai/,-26.9159496,-48.6592326,"Rua Uruguai, 716",Centro,Itajaí/SC,1,0,1,1,1
259,Apartamento 3 Quartos Praia Brava 115m²,2690000.0,3,1,3,2,115,https://maximoveis.com.br/imovel/12653/apartamento-3-quartos-porto-madeiro-praia-brava-itajai/,-26.958931,-48.6309,"Rua Otacílio Da Silva Costa, 198",Praia Brava,Itajaí/SC,1,0,1,1,1
260,Apartamento 3 Quartos Fazenda 107m²,1058600.0,3,1,2,2,107,https://maximoveis.com.br/imovel/9710/apartamento-3-quartos-residencial-paradiso-del-mare-fazenda-itajai/,-26.9241745,-48.6485413,"Rua Galdino Gerônimo Vieira, 132",Fazenda,Itajaí/SC,1,0,0,1,1
261,Apartamento 3 Quartos Praia Brava 90m²,2000000.0,3,1,2,2,90,https://maximoveis.com.br/imovel/12636/apartamento-3-quartos-brava-22-praia-brava-itajai/,-26.9571321,-48.6314368,"Rua Miguel Francisco Borges, 22",Praia Brava,Itajaí/SC,0,0,1,1,0
262,Apartamento 3 Quartos Dom Bosco 79m²,723482.16,3,1,2,2,79,https://maximoveis.com.br/imovel/8994/apartamento-3-quartos-mabrem-san-marino-dom-bosco-itajai/,-26.9169583,-48.67202690000001,"Rua Ulisses Machado Dutra, 78",Dom Bosco,Itajaí/SC,1,0,1,1,1
263,Apartamento 3 Quartos Centro 167m²,2200000.0,3,3,5,3,167,https://maximoveis.com.br/imovel/7534/apartamento-3-quartos-marechiaro-residencial-centro-itajai/,-26.9098664,-48.6548531,"Rua Lauro Muller, 538",Centro,Itajaí/SC,1,0,1,1,1
265,Apartamento 2 Quartos Vila Operária 74m²,595440.0,2,1,2,1,74,https://maximoveis.com.br/imovel/12862/apartamento-2-quartos-duque-3751-vila-operaria-itajai/,-26.9107435,-48.6730925,"Rua Duque De Caxias, 375",Vila Operária,Itajaí/SC,1,0,1,1,1
266,Apartamento 2 Quartos Fazenda 90m²,919639.46,2,2,3,2,90,https://maximoveis.com.br/imovel/10704/apartamento-2-quartos-le-havre-residence-fazenda-itajai/,-26.9200722,-48.65487090000001,"Rua Gregório Chaves, 29",Fazenda,Itajaí/SC,1,1,1,1,1
268,Apartamento 2 Quartos Centro 70m²,650000.0,2,1,2,1,70,https://maximoveis.com.br/imovel/12432/apartamento-2-quartos-fontana-della-barcaccia-centro-itajai/,-26.9124355,-48.6650917,"Rua Franklin Máximo Pereira, 274",Centro,Itajaí/SC,1,0,1,1,1
269,Apartamento 3 Quartos Vila Operária 96m²,550000.0,3,1,2,1,96,https://maximoveis.com.br/imovel/12121/apartamento-3-quartos-edificio-residencial-fernanda-e-daniel-vila-operaria-itajai/,-26.9119723,-48.6713517,"Rua Carlos Seara, 650",Vila Operária,Itajaí/SC,1,0,1,1,0
270,Apartamento 2 Quartos Praia Brava 96m²,3000000.0,2,2,3,1,96,https://maximoveis.com.br/imovel/10472/apartamento-2-quartos-brava-arts-praia-brava-itajai/,-26.9510496,-48.6309428,"Rua Delfim Mário Pádua Peixoto, 1128",Praia Brava,Itajaí/SC,1,0,1,1,1
271,Apartamento 3 Quartos Praia Brava 167m²,2679200.0,3,3,4,2,167,https://maximoveis.com.br/imovel/10691/apartamento-3-quartos-residencial-dusseldorf-praia-brava-itajai/,-26.9529509,-48.634561,"Rua Conselheiro Júlio Kumm, 563",Praia Brava,Itajaí/SC,1,0,1,1,0
272,Apartamento 3 Quartos Praia Brava 169m²,2713440.0,3,3,4,2,169,https://maximoveis.com.br/imovel/10690/apartamento-3-quartos-residencial-dusseldorf-praia-brava-itajai/,-26.9529509,-48.634561,"Rua Conselheiro Júlio Kumm, 563",Praia Brava,Itajaí/SC,1,0,1,1,0
273,Apartamento 2 Quartos Fazenda 73m²,789100.0,2,1,2,2,73,https://maximoveis.com.br/imovel/9709/apartamento-2-quartos-residencial-paradiso-del-mare-fazenda-itajai/,-26.9241745,-48.6485413,"Rua Galdino Gerônimo Vieira, 132",Fazenda,Itajaí/SC,1,0,0,1,1
274,Apartamento 2 Quartos Centro 71m²,816000.0,2,2,3,2,71,https://maximoveis.com.br/imovel/10497/apartamento-2-quartos-maiori-centro-itajai/,-26.9147098,-48.6655161,"Rua Juvenal Garcia, 400",Centro,Itajaí/SC,1,1,1,1,1
281,Apartamento 3 Quartos Fazenda 120m²,1350000.0,3,1,3,2,120,https://maximoveis.com.br/imovel/11466/apartamento-3-quartos-areia-branca-fazenda-itajai/,-26.9164732,-48.6542562,"Rua Camboriú, 1012",Fazenda,Itajaí/SC,1,0,1,1,1
283,Apartamento 1 Quarto Praia Brava 63m²,780000.0,1,0,1,1,63,https://maximoveis.com.br/imovel/12550/apartamento-1-quarto-brava-blue-praia-brava-itajai/,-26.9544489,-48.6389793,"Rua Valdir Martins, 26",Praia Brava,Itajaí/SC,0,0,0,1,0
285,Apartamento 2 Quartos Fazenda 73m²,850000.0,2,2,3,1,73,https://maximoveis.com.br/imovel/12854/apartamento-2-quartos-lago-moraine-fazenda-itajai/,-26.9252796,-48.6492404,"Rua João Wollinger, 91",Fazenda,Itajaí/SC,1,0,1,1,1
286,Apartamento 2 Quartos Fazenda 65m²,850000.0,2,1,2,2,65,https://maximoveis.com.br/imovel/12632/apartamento-2-quartos-plaza-firenze-fazenda-itajai/,-26.9192172,-48.6523209,"Rua Telêmaco Pereira Liberato, 100",Fazenda,Itajaí/SC,1,0,1,0,1
